Date,ModulesCited,AllModules
2015-11-16,147,452
2015-11-16,147,452
2015-11-20,147,459
2015-11-20,147,459
2015-11-20,147,459
2015-11-20,147,459
2015-11-20,147,459
2015-11-20,147,459
2015-11-20,147,459
2015-11-20,147,459
2015-11-20,147,459
2015-11-20,147,459
2015-11-22,149,460
2015-11-22,149,460
2015-11-26,149,460
2015-12-09,152,475
2015-12-12,151,476
2015-12-18,137,459
2015-12-29,151,483
2015-12-31,151,486
2016-01-07,158,503
2016-01-17,162,531
2016-01-19,162,533
2016-01-25,165,545
2016-02-08,165,548
2016-02-14,166,559
2016-02-26,167,570
2016-03-04,167,565
2016-03-06,168,568
2016-03-12,169,571
2016-03-18,172,575
2016-03-29,175,588
2016-04-03,183,598
2016-04-13,188,609
2016-04-17,189,611
2016-04-19,189,612
2016-04-28,188,616
2016-04-29,188,620
2016-05-01,190,625
2016-05-02,190,625
2016-05-03,208,629
2016-05-04,208,629
2016-05-05,208,631
2016-05-06,208,632
2016-05-07,208,633
2016-05-08,207,634
2016-05-09,207,635
2016-05-10,207,636
2016-05-11,208,638
2016-05-13,208,638
2016-05-14,208,638
2016-05-15,208,638
2016-05-16,208,638
2016-05-18,208,641
2016-05-19,208,641
2016-05-20,208,643
2016-05-23,208,644
2016-05-24,208,644
2016-05-25,208,642
2016-05-26,208,645
2016-05-26,208,645
2016-05-27,208,645
2016-05-31,208,653
2016-05-31,208,653
2016-06-02,208,656
2016-06-03,208,656
2016-06-09,210,659
2016-06-18,210,663
2016-06-22,209,663
2016-06-25,209,666
2016-06-29,209,667
2016-07-02,209,672
2016-07-03,210,672
2016-07-04,210,672
2016-07-06,210,675
2016-07-07,210,675
2016-07-08,210,675
2016-07-09,210,675
2016-07-10,211,676
2016-07-11,211,676
2016-07-12,211,676
2016-07-14,211,677
2016-07-15,211,677
2016-07-16,213,678
2016-07-18,213,678
2016-07-19,213,679
2016-07-20,213,679
2016-07-21,213,679
2016-07-22,213,679
2016-07-24,214,680
2016-07-25,214,680
2016-07-26,214,680
2016-07-27,214,681
2016-07-28,214,682
2016-07-29,214,684
2016-07-30,214,685
2016-08-01,214,685
2016-08-03,214,685
2016-08-05,214,686
2016-08-06,214,686
2016-08-07,214,687
2016-08-08,216,688
2016-08-10,216,688
2016-08-11,216,688
2016-08-12,216,688
2016-08-13,216,692
2016-08-15,216,692
2016-08-17,217,695
2016-08-19,217,697
2016-08-21,217,697
2016-08-22,217,698
2016-08-24,217,703
2016-08-27,217,705
2016-08-28,217,706
2016-08-29,217,706
2016-08-30,218,708
2016-08-31,218,708
2016-09-01,218,707
2016-09-02,217,709
2016-09-03,217,709
2016-09-04,217,709
2016-09-06,218,711
2016-09-07,218,711
2016-09-08,218,712
2016-09-09,218,712
2016-09-10,218,713
2016-09-11,219,714
2016-09-17,219,716
2016-09-19,219,719
2016-09-20,219,720
2016-09-21,219,720
2016-09-22,219,721
2016-09-23,219,721
2016-09-24,219,721
2016-09-25,219,721
2016-09-26,210,719
2016-09-27,210,718
2016-09-28,219,723
2016-09-29,217,722
2016-09-30,218,722
2016-10-02,218,725
2016-10-03,218,725
2016-10-07,218,727
2016-10-09,218,728
2016-10-10,218,728
2016-10-11,218,728
2016-10-12,218,728
2016-10-13,218,729
2016-10-27,220,736
2016-10-28,220,736
2016-10-29,220,736
2016-10-31,220,736
2016-11-01,220,736
2016-11-02,220,736
2016-11-04,220,736
2016-11-05,221,736
2016-11-07,221,738
2016-11-10,221,738
2016-11-12,220,734
2016-11-13,220,734
2016-11-14,221,738
2016-11-19,221,742
2016-11-20,221,742
2016-11-23,221,742
2016-11-24,221,743
2016-11-25,221,743
2016-11-30,221,744
2016-12-05,223,747
2016-12-06,223,747
2016-12-07,223,747
2016-12-08,223,749
2016-12-09,223,750
2016-12-10,223,751
2016-12-11,223,751
2016-12-12,223,751
2016-12-14,223,753
2016-12-15,222,751
2016-12-16,223,754
2016-12-17,224,757
2016-12-19,224,757
2016-12-21,224,757
2016-12-22,224,757
2016-12-23,224,757
2016-12-25,224,757
2016-12-26,224,757
2016-12-29,224,758
2016-12-30,224,758
2016-12-31,224,759
2017-01-01,224,759
2017-01-03,224,760
2017-01-04,224,761
2017-01-05,224,761
