Date,Apache::LogFormat,Backtrace::AsHTML,Bailador,Base64,CSS::Grammar,Compress::Zlib,Compress::Zlib::Raw,Config::INI,Config::Simple,Cookie::Baker,Crust,DBIish,Data::Dump,DateTime::Format,DateTime::Parse,Digest,Digest::HMAC,Digest::MD5,Email::Simple,Encode,File::Directory::Tree,File::Find,File::Temp,File::Which,Find::Bundled,Flower,Getopt::Tiny,HTML::Entity,HTML::Escape,HTML::Template,HTTP::Easy,HTTP::HPACK,HTTP::MultiPartParser,HTTP::Parser,HTTP::Request::Supply,HTTP::Server,HTTP::Server::Tiny,HTTP::Status,HTTP::Tinyish,HTTP::UserAgent,Hash::MultiValue,IO::Blob,IO::Capture::Simple,IO::Socket::Async::SSL,IO::Socket::SSL,JSON::Class,JSON::Fast,JSON::Marshal,JSON::Name,JSON::Pretty,JSON::Tiny,JSON::Unmarshal,LWP::Simple,LibraryMake,Linenoise,META6,MIME::Base64,Native::Resources,NativeHelpers::Array,NativeHelpers::Blob,Netstring,OO::Monitors,OpenSSL,PSGI,Pod::Coverage,RakudoPrereq,SVG,Shell::Command,Sparrowdo,Template6,Template::Mojo,Template::Mustache,Terminal::ANSIColor,Test::META,URI,URI::Encode,UUID,XML,XML::Writer,YAMLish
2015-11-16,3.38,3.38,NaN,3.38,2.7,4.05,4.73,NaN,NaN,3.38,2.7,4.05,NaN,8.78,6.76,10.14,NaN,3.38,NaN,7.43,16.22,9.46,15.54,NaN,12.84,NaN,3.38,NaN,NaN,2.7,10.14,NaN,3.38,4.05,NaN,3.38,3.38,18.92,NaN,6.08,3.38,5.41,9.46,NaN,3.38,NaN,NaN,2.7,4.05,NaN,25,2.7,8.78,7.43,NaN,NaN,22.3,NaN,NaN,NaN,2.7,NaN,5.41,13.51,8.11,NaN,2.7,4.73,NaN,NaN,4.05,NaN,5.41,NaN,19.59,7.43,NaN,13.51,3.38,NaN
2015-11-20,3.38,3.38,NaN,3.38,2.7,4.05,4.73,NaN,NaN,3.38,2.7,4.05,NaN,8.78,6.76,10.14,NaN,3.38,NaN,7.43,16.22,10.14,15.54,NaN,12.84,NaN,3.38,NaN,NaN,2.7,10.14,NaN,3.38,4.05,NaN,3.38,3.38,18.92,NaN,6.08,3.38,5.41,9.46,NaN,3.38,NaN,2.7,2.7,4.05,NaN,33.78,2.7,8.78,8.11,NaN,NaN,22.3,NaN,NaN,NaN,2.7,NaN,5.41,13.51,8.78,NaN,NaN,4.73,NaN,NaN,4.05,NaN,5.41,NaN,19.59,8.11,NaN,13.51,3.38,NaN
2015-11-22,3.33,3.33,NaN,3.33,2.67,4.67,5.33,NaN,NaN,3.33,2.67,4,NaN,8.67,6.67,10,NaN,4,NaN,7.33,16,10,15.33,NaN,13.33,NaN,3.33,NaN,NaN,2.67,10,NaN,3.33,4,NaN,3.33,3.33,18.67,NaN,6,3.33,5.33,9.33,NaN,3.33,NaN,3.33,2.67,4,NaN,33.33,2.67,8.67,8,NaN,NaN,22,NaN,NaN,NaN,2.67,NaN,5.33,13.33,8.67,NaN,NaN,4.67,NaN,NaN,4,NaN,5.33,NaN,19.33,8,NaN,13.33,3.33,NaN
2015-11-26,3.33,3.33,NaN,3.33,2.67,4.67,5.33,NaN,NaN,3.33,2.67,4,NaN,9.33,7.33,10.67,NaN,4,NaN,8,16.67,10,16,NaN,13.33,NaN,3.33,NaN,NaN,2.67,10,NaN,3.33,4,NaN,3.33,3.33,19.33,NaN,6.67,3.33,5.33,10,NaN,3.33,NaN,3.33,2.67,4,NaN,33.33,2.67,8.67,8,NaN,NaN,22.67,NaN,NaN,NaN,2.67,NaN,5.33,13.33,8.67,NaN,NaN,4.67,NaN,NaN,4,NaN,5.33,NaN,20,8,NaN,13.33,3.33,NaN
2015-12-09,3.27,3.27,NaN,3.27,2.61,4.58,5.23,NaN,NaN,3.27,2.61,3.92,NaN,9.15,8.5,11.11,NaN,3.92,NaN,9.15,18.95,9.8,18.3,NaN,13.73,NaN,3.27,NaN,NaN,2.61,9.8,NaN,3.27,3.92,NaN,3.27,3.27,20.26,3.27,7.84,3.27,5.23,11.11,NaN,3.92,3.27,7.19,3.92,5.23,NaN,22.88,3.92,9.15,8.5,NaN,NaN,23.53,NaN,NaN,NaN,NaN,NaN,5.88,13.07,NaN,NaN,NaN,4.58,NaN,NaN,3.92,NaN,5.23,NaN,20.92,7.19,NaN,13.07,3.27,NaN
2015-12-12,3.29,3.29,NaN,3.29,2.63,4.61,5.26,NaN,NaN,3.29,2.63,3.95,NaN,9.21,8.55,11.18,NaN,3.95,NaN,9.21,19.08,9.87,18.42,NaN,13.16,NaN,3.29,NaN,NaN,2.63,9.87,NaN,3.29,3.95,NaN,3.29,3.29,20.39,3.29,7.89,3.29,5.26,2.63,NaN,3.95,3.29,7.24,3.95,5.26,NaN,22.37,3.95,9.21,8.55,NaN,NaN,23.68,NaN,NaN,NaN,NaN,NaN,5.92,13.16,NaN,NaN,NaN,4.61,NaN,NaN,3.95,NaN,5.92,NaN,21.05,7.24,NaN,13.16,3.29,NaN
2015-12-18,2.07,2.07,NaN,2.07,2.76,4.83,5.52,NaN,NaN,2.07,NaN,4.14,NaN,8.28,8.28,10.34,2.07,4.14,2.07,8.97,19.31,10.34,18.62,NaN,13.1,2.07,2.07,2.07,NaN,NaN,7.59,NaN,NaN,2.76,NaN,NaN,NaN,19.31,3.45,7.59,NaN,4.14,2.76,NaN,3.45,NaN,7.59,NaN,3.45,NaN,21.38,NaN,9.66,8.97,2.76,NaN,24.14,NaN,NaN,NaN,2.76,NaN,5.52,11.03,NaN,NaN,2.76,4.83,NaN,2.76,2.76,NaN,4.83,NaN,20.69,6.21,2.76,13.79,3.45,NaN
2015-12-29,3.29,3.29,NaN,3.29,2.63,4.61,5.26,NaN,NaN,3.29,2.63,3.95,NaN,9.21,9.21,11.18,NaN,3.95,NaN,9.87,21.05,9.21,20.39,NaN,13.16,NaN,3.29,NaN,NaN,2.63,9.87,NaN,3.29,3.95,NaN,3.29,3.29,21.05,3.29,8.55,3.29,5.26,NaN,NaN,3.95,3.29,7.89,3.95,5.92,NaN,23.68,4.61,9.21,8.55,2.63,NaN,24.34,NaN,NaN,NaN,NaN,NaN,5.92,13.16,NaN,NaN,NaN,3.95,NaN,NaN,3.95,NaN,5.92,NaN,21.71,7.24,NaN,13.16,3.29,NaN
2015-12-31,3.29,3.29,NaN,3.29,2.63,4.61,5.26,NaN,NaN,3.29,2.63,3.95,NaN,9.21,9.21,11.18,NaN,3.95,NaN,9.87,21.05,9.21,20.39,NaN,13.16,NaN,3.29,NaN,NaN,2.63,9.87,NaN,3.29,3.95,NaN,3.29,3.29,21.05,3.29,8.55,3.29,5.26,NaN,NaN,3.95,3.29,7.89,3.95,5.92,NaN,23.68,4.61,9.21,9.21,2.63,NaN,24.34,NaN,NaN,NaN,NaN,NaN,5.92,13.16,NaN,NaN,NaN,3.95,NaN,NaN,3.95,NaN,6.58,NaN,21.71,7.24,NaN,13.16,3.29,NaN
2016-01-07,3.14,3.14,NaN,3.14,2.52,4.4,5.03,NaN,NaN,3.14,2.52,4.4,2.52,8.81,8.81,10.69,NaN,3.77,NaN,9.43,22.01,8.81,21.38,NaN,12.58,NaN,3.14,NaN,NaN,2.52,9.43,NaN,3.14,3.77,NaN,3.14,3.14,20.13,4.4,8.18,3.14,5.03,NaN,NaN,3.77,3.14,7.55,3.77,5.66,NaN,22.64,4.4,8.81,8.81,NaN,NaN,23.27,NaN,NaN,NaN,NaN,NaN,5.66,12.58,NaN,NaN,NaN,3.77,NaN,NaN,3.77,NaN,6.29,NaN,20.75,6.92,NaN,13.21,3.14,NaN
