Date,AccessorFacade,Audio::PortMIDI,Bailador,Base64,Base64::Native,CSS::Grammar,CompUnit::Util,Compress::Zlib,Compress::Zlib::Raw,Config,Config::TOML,Cookie::Baker,Cro::Core,Cro::HTTP,Crust,DBIish,Data::Dump,DateTime::Format,DateTime::Parse,DateTime::TimeZone,Debugger::UI::CommandLine,Digest,Digest::HMAC,Digest::MD5,Email::Simple,Encode,File::Directory::Tree,File::Find,File::Temp,File::Which,Find::Bundled,HTML::Entity,HTML::Escape,HTML::Parser::XML,HTML::Template,HTTP::Easy,HTTP::Server,HTTP::Server::Async,HTTP::Status,HTTP::Tinyish,HTTP::UserAgent,Hash::Merge,IO::Blob,IO::Capture::Simple,IO::Socket::Async::SSL,IO::Socket::SSL,IRC::Client,JSON::Class,JSON::Fast,JSON::Name,JSON::Pretty,JSON::RPC,JSON::Tiny,JSON::Unmarshal,LWP::Simple,LibraryMake,Linenoise,Lingua::Conjunction,META6,MIME::Base64,NativeHelpers::Array,NativeHelpers::Blob,Net::DNS,OO::Monitors,OpenSSL,PDF,PSGI,Pod::To::HTML,Pod::To::Markdown,Rakudo::Perl6::Parsing,RakudoPrereq,SCGI,SVG,SVG::Plot,Shell::Command,Sparrowdo,String::CRC32,Subset::Helper,Template6,Template::Mojo,Template::Mustache,Term::termios,Terminal::ANSIColor,Test::META,Test::Mock,URI,URI::Encode,UUID,WWW,XML,XML::Class,YAMLish
2015-11-16,1.35,NaN,1.35,NaN,NaN,2.7,NaN,2.7,NaN,NaN,NaN,1.35,NaN,NaN,2.7,3.38,NaN,3.38,NaN,1.35,1.35,6.76,1.35,3.38,1.35,1.35,1.35,7.43,8.11,1.35,3.38,1.35,NaN,1.35,1.35,5.41,2.03,1.35,4.73,1.35,3.38,NaN,2.03,3.38,NaN,3.38,NaN,1.35,NaN,2.03,NaN,2.03,20.95,NaN,6.76,5.41,NaN,NaN,NaN,8.11,NaN,NaN,NaN,NaN,NaN,NaN,3.38,NaN,NaN,NaN,NaN,2.03,2.7,2.03,4.05,NaN,NaN,NaN,NaN,2.03,NaN,NaN,4.73,NaN,NaN,7.43,3.38,2.03,NaN,9.46,NaN,NaN
2015-11-20,1.35,NaN,1.35,NaN,NaN,2.7,NaN,2.7,NaN,NaN,NaN,1.35,NaN,NaN,2.7,3.38,NaN,3.38,NaN,1.35,1.35,6.76,1.35,3.38,1.35,1.35,1.35,8.11,8.11,1.35,3.38,1.35,NaN,1.35,1.35,5.41,2.03,1.35,4.73,1.35,3.38,NaN,2.03,3.38,NaN,3.38,NaN,NaN,2.03,2.03,NaN,2.03,20.95,NaN,6.76,6.08,NaN,NaN,NaN,8.11,NaN,NaN,NaN,NaN,NaN,NaN,3.38,NaN,NaN,NaN,NaN,2.03,2.7,2.03,4.05,NaN,NaN,NaN,NaN,2.03,NaN,NaN,4.73,NaN,NaN,7.43,4.05,2.03,NaN,9.46,NaN,NaN
2015-11-22,1.33,NaN,1.33,NaN,NaN,2.67,NaN,3.33,NaN,NaN,NaN,1.33,NaN,NaN,2.67,3.33,NaN,3.33,NaN,1.33,1.33,6.67,1.33,4,1.33,1.33,1.33,8,8,1.33,3.33,1.33,NaN,1.33,1.33,5.33,2,1.33,4.67,1.33,3.33,NaN,2,3.33,NaN,3.33,NaN,NaN,2.67,2,NaN,2,20.67,NaN,6.67,6,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,3.33,NaN,NaN,NaN,NaN,2,2.67,2,4,NaN,NaN,NaN,NaN,2,NaN,NaN,4.67,NaN,NaN,7.33,4,2,NaN,9.33,NaN,NaN
2015-11-26,1.33,NaN,1.33,NaN,NaN,2.67,NaN,3.33,NaN,NaN,NaN,1.33,NaN,NaN,2.67,3.33,NaN,4,NaN,1.33,1.33,7.33,2,4,1.33,1.33,1.33,8,8,1.33,3.33,1.33,NaN,1.33,1.33,5.33,2,1.33,4.67,1.33,4,NaN,2,3.33,NaN,3.33,NaN,NaN,2.67,2,NaN,2,20.67,NaN,6.67,6,NaN,NaN,NaN,8.67,NaN,NaN,NaN,NaN,NaN,NaN,3.33,NaN,NaN,NaN,NaN,2,2.67,2,4,NaN,NaN,NaN,NaN,2,NaN,NaN,4.67,NaN,NaN,7.33,4,2,NaN,9.33,NaN,NaN
2015-12-09,1.31,NaN,1.31,NaN,NaN,2.61,NaN,3.27,NaN,NaN,NaN,1.31,NaN,NaN,2.61,3.27,1.31,3.92,NaN,1.31,1.31,7.19,1.96,3.92,1.31,1.31,1.31,7.84,7.84,1.31,3.27,1.31,NaN,NaN,NaN,5.23,1.96,NaN,4.58,2.61,5.23,NaN,1.96,3.27,NaN,3.92,NaN,1.96,5.88,2.61,NaN,1.96,17.65,NaN,6.54,5.88,1.96,NaN,NaN,8.5,NaN,NaN,NaN,NaN,NaN,NaN,3.27,NaN,NaN,NaN,NaN,1.96,2.61,1.96,3.92,NaN,NaN,NaN,NaN,1.96,NaN,NaN,4.58,NaN,NaN,7.84,3.27,1.96,NaN,9.15,NaN,NaN
2015-12-12,1.32,NaN,1.32,NaN,NaN,2.63,NaN,3.29,NaN,NaN,NaN,1.32,NaN,NaN,2.63,3.29,1.32,3.95,NaN,1.32,1.32,7.24,1.97,3.95,1.32,1.32,1.32,7.89,7.89,1.32,2.63,1.32,NaN,NaN,NaN,5.26,1.97,NaN,4.61,2.63,5.26,NaN,1.97,2.63,NaN,3.95,NaN,1.97,5.92,2.63,NaN,1.97,17.76,NaN,6.58,5.92,1.97,NaN,NaN,8.55,NaN,NaN,NaN,NaN,NaN,NaN,3.29,NaN,NaN,NaN,NaN,1.97,2.63,1.97,3.95,NaN,NaN,NaN,NaN,1.97,NaN,NaN,5.26,NaN,NaN,7.89,3.29,1.97,NaN,9.21,NaN,NaN
2015-12-18,NaN,NaN,NaN,NaN,NaN,2.76,NaN,3.45,NaN,NaN,NaN,1.38,NaN,NaN,1.38,3.45,1.38,4.14,NaN,1.38,NaN,6.21,2.07,4.14,1.38,1.38,1.38,8.28,8.28,1.38,2.76,1.38,NaN,1.38,NaN,4.83,NaN,NaN,4.83,2.76,6.21,NaN,2.07,2.76,NaN,3.45,NaN,NaN,6.21,3.45,NaN,2.07,19.31,NaN,6.9,6.21,2.07,NaN,NaN,8.97,NaN,NaN,1.38,NaN,1.38,NaN,3.45,1.38,NaN,1.38,NaN,2.07,2.76,2.07,4.14,NaN,1.38,NaN,NaN,NaN,NaN,NaN,4.83,NaN,NaN,7.59,3.45,2.07,NaN,9.66,NaN,NaN
2015-12-29,1.32,NaN,1.32,NaN,NaN,2.63,NaN,3.29,NaN,NaN,NaN,1.32,NaN,NaN,2.63,3.29,1.32,3.95,NaN,1.32,1.32,7.24,1.97,3.95,1.32,1.32,1.32,7.89,9.21,1.97,2.63,1.32,NaN,NaN,NaN,5.26,1.97,NaN,4.61,2.63,5.92,NaN,1.97,1.97,NaN,3.95,NaN,1.97,6.58,3.29,NaN,1.97,19.08,NaN,6.58,5.92,1.97,NaN,NaN,8.55,NaN,NaN,NaN,NaN,NaN,NaN,3.29,NaN,NaN,NaN,NaN,1.97,2.63,1.97,3.95,NaN,NaN,NaN,NaN,1.97,NaN,NaN,5.26,NaN,NaN,7.89,3.29,1.97,NaN,9.21,NaN,NaN
2015-12-31,1.32,NaN,1.32,NaN,NaN,2.63,NaN,3.29,NaN,NaN,NaN,1.32,NaN,NaN,2.63,3.29,1.32,3.95,NaN,1.32,1.32,7.24,1.97,3.95,1.32,1.32,1.32,7.89,9.21,1.97,2.63,1.32,NaN,NaN,NaN,5.26,1.97,NaN,4.61,2.63,5.92,NaN,1.97,1.97,NaN,3.95,NaN,1.97,6.58,3.29,NaN,1.97,19.08,NaN,6.58,6.58,1.97,NaN,NaN,8.55,NaN,NaN,NaN,NaN,NaN,NaN,3.29,NaN,NaN,NaN,NaN,1.97,2.63,1.97,3.95,NaN,NaN,NaN,NaN,1.97,NaN,NaN,5.92,NaN,NaN,7.89,3.29,1.97,NaN,9.21,NaN,NaN
2016-01-07,1.26,NaN,1.26,NaN,NaN,2.52,NaN,3.14,NaN,NaN,NaN,1.26,NaN,NaN,2.52,3.77,1.26,3.77,NaN,1.26,1.26,6.92,1.89,3.77,1.26,NaN,NaN,7.55,9.43,1.89,2.52,NaN,NaN,NaN,NaN,5.03,1.89,NaN,4.4,2.52,5.66,NaN,1.89,1.89,NaN,3.77,NaN,1.89,6.29,3.14,NaN,1.89,18.24,NaN,6.29,6.29,1.89,1.89,NaN,8.18,1.89,NaN,NaN,NaN,NaN,NaN,3.14,NaN,NaN,NaN,NaN,1.89,2.52,1.89,3.77,NaN,1.89,NaN,NaN,1.89,NaN,NaN,5.66,NaN,NaN,7.55,3.14,1.89,NaN,9.43,NaN,NaN
